timestamp_ms,ax_g,ay_g,az_g,label
11244,-0.041,-0.145,0.1413,0
11254,-0.0327,-0.1909,0.103,0
11264,-0.0278,-0.2433,0.0945,0
11274,-0.0298,-0.2941,0.1193,0
11284,-0.0525,-0.3556,0.1865,0
11294,-0.0876,-0.4173,0.2858,0
11304,-0.1008,-0.4603,0.3788,0
11314,-0.0659,-0.4901,0.4391,0
11324,0.0176,-0.4984,0.481,0
11334,0.1069,-0.5001,0.5511,0
11344,0.1581,-0.4896,0.6941,0
11354,0.1386,-0.4071,1.1175,0
11364,0.2377,-0.2826,1.4246,0
11374,0.565,-0.1376,1.3462,0
11384,0.8266,-0.0632,1.2711,0
11394,0.8613,-0.1108,1.3665,0
11404,0.7937,-0.2362,1.46,0
11414,0.7173,-0.3632,1.4407,0
11424,0.6106,-0.4913,1.3721,0
11434,0.4784,-0.6055,1.3013,0
11444,0.3407,-0.6565,1.2271,0
11454,0.1706,-0.6807,1.1864,0
11464,0.0168,-0.689,1.149,0
11474,-0.0705,-0.6782,1.1017,0
11484,-0.0966,-0.6726,1.0502,0
11494,-0.0752,-0.6726,1.015,0
11504,-0.0452,-0.6846,1.0375,0
11514,-0.0095,-0.6968,1.1239,0
11524,0.0556,-0.71,1.22,0
11534,0.1606,-0.7085,1.314,0
11544,0.2912,-0.689,1.3782,0
11554,0.3841,-0.669,1.4421,0
11564,0.4359,-0.6582,1.5144,0
11574,0.4825,-0.6524,1.5334,0
11584,0.5601,-0.6419,1.4441,0
11594,0.5906,-0.6419,1.3548,0
11604,0.5362,-0.669,1.2901,0
11614,0.4298,-0.6975,1.2174,0
11624,0.3026,-0.7,1.1246,0
11634,0.1992,-0.667,0.9928,0
11644,0.1137,-0.5935,0.8532,0
11654,0.0376,-0.4784,0.7312,0
11664,-0.0166,-0.3688,0.6328,0
11674,-0.0454,-0.258,0.5472,0
11684,-0.0312,-0.1616,0.4659,0
11694,-0.0034,-0.0796,0.4066,0
11704,0.0434,-0.0286,0.3453,0
11714,0.0844,0.0063,0.2973,0
11724,0.0979,0.0151,0.2914,0
11734,0.1179,0.0154,0.3119,0
11744,0.1586,0.0144,0.3102,0
11754,0.2131,0.0164,0.3036,0
11764,0.2443,0.0041,0.3322,0
11774,0.2663,-0.0229,0.3568,0
11784,0.2611,-0.0664,0.3636,0
11794,0.2118,-0.1447,0.3834,0
11804,0.1025,-0.2621,0.3002,0
11814,-0.135,-0.4215,0.37,0
11824,-0.2267,-0.5301,0.5413,0
11834,-0.1279,-0.4991,0.648,0
11844,0.1294,-0.4752,0.6021,0
11854,0.3241,-0.4308,0.5601,0
11864,0.3385,-0.4251,0.74,0
11874,0.2824,-0.4442,0.9828,0
11884,0.3268,-0.4542,1.0524,0
11894,0.4164,-0.4552,1.0097,0
11904,0.4256,-0.5093,1.0451,0
11914,0.3571,-0.5862,1.1612,0
11924,0.3222,-0.6521,1.2169,0
11934,0.3309,-0.697,1.2154,0
11944,0.3153,-0.718,1.252,0
11954,0.2816,-0.72,1.3074,0
11964,0.2804,-0.6714,1.3238,0
11974,0.2977,-0.5889,1.3516,0
11984,0.3231,-0.491,1.4002,0
11994,0.3585,-0.3985,1.4402,0
12004,0.3917,-0.3192,1.4648,0
12014,0.4171,-0.2714,1.479,0
12024,0.4244,-0.2504,1.4975,0
12034,0.4203,-0.2477,1.4927,0
12044,0.4344,-0.2567,1.4107,0
12054,0.3905,-0.2929,1.3716,0
12064,0.3095,-0.3658,1.3638,0
12074,0.2743,-0.4395,1.3067,0
12084,0.278,-0.4879,1.242,0
12094,0.2714,-0.5164,1.2332,0
12104,0.2736,-0.5421,1.2423,0
12114,0.3207,-0.5367,1.2088,0
